"city","city_ibge_code","date","epidemiological_week","estimated_population","estimated_population_2019","is_last","is_repeated","last_available_confirmed","last_available_confirmed_per_100k_inhabitants","last_available_date","last_available_death_rate","last_available_deaths","order_for_place","place_type","state","new_confirmed","new_deaths"
"Oiapoque",1600501,2020-04-17,16,27906,27270,FALSE,FALSE,5,17.91729,2020-04-17,0,0,14,"city","AP",1,0
"Porto Grande",1600535,2020-04-17,16,22452,21971,FALSE,FALSE,1,4.45395,2020-04-17,0,0,4,"city","AP",0,0
"Santana",1600600,2020-04-17,16,123096,121364,FALSE,FALSE,51,41.43108,2020-04-17,0.0392,2,13,"city","AP",3,0
"Vitória do Jari",1600808,2020-04-17,16,16254,15931,FALSE,FALSE,2,12.30466,2020-04-17,0,0,4,"city","AP",0,0
NA,16,2020-04-17,16,861773,845731,FALSE,FALSE,375,43.51494,2020-04-17,0.0267,10,29,"state","AP",13,0
"Laranjal do Jari",1600279,2020-04-18,16,51362,50410,FALSE,FALSE,2,3.89393,2020-04-18,0,0,4,"city","AP",0,0
"Macapá",1600303,2020-04-18,16,512902,503327,FALSE,FALSE,328,63.94984,2020-04-18,0.0244,8,30,"city","AP",16,0
"Mazagão",1600402,2020-04-18,16,22053,21632,FALSE,FALSE,2,9.06906,2020-04-18,0,0,5,"city","AP",0,0
"Oiapoque",1600501,2020-04-18,16,27906,27270,FALSE,FALSE,5,17.91729,2020-04-18,0,0,15,"city","AP",0,0
"Porto Grande",1600535,2020-04-18,16,22452,21971,FALSE,FALSE,1,4.45395,2020-04-18,0,0,5,"city","AP",0,0
"Santana",1600600,2020-04-18,16,123096,121364,FALSE,FALSE,60,48.74244,2020-04-18,0.0333,2,14,"city","AP",9,0
"Vitória do Jari",1600808,2020-04-18,16,16254,15931,FALSE,FALSE,2,12.30466,2020-04-18,0,0,5,"city","AP",0,0
NA,16,2020-04-18,16,861773,845731,FALSE,FALSE,400,46.41594,2020-04-18,0.025,10,30,"state","AP",25,0
"Laranjal do Jari",1600279,2020-04-19,17,51362,50410,FALSE,FALSE,5,9.73482,2020-04-19,0,0,5,"city","AP",3,0
"Macapá",1600303,2020-04-19,17,512902,503327,FALSE,FALSE,341,66.48444,2020-04-19,0.0264,9,31,"city","AP",13,1
"Mazagão",1600402,2020-04-19,17,22053,21632,FALSE,FALSE,2,9.06906,2020-04-19,0,0,6,"city","AP",0,0
"Oiapoque",1600501,2020-04-19,17,27906,27270,FALSE,FALSE,5,17.91729,2020-04-19,0,0,16,"city","AP",0,0
"Porto Grande",1600535,2020-04-19,17,22452,21971,FALSE,FALSE,1,4.45395,2020-04-19,0,0,6,"city","AP",0,0
